No.,IO_Type,Inout Mode,Single/Differential,Drive,All Output Drive Support,DIFFDrive,OpenDrain,SlewRate,PCIClamp,VREF,HYSTERESIS,I3C Mode(bank 4/5),MIPI HS Input(bank 4/5),PullMode,SingleResistor(bank 0/1/4/5),SingleResistor(bank 2/3/6/7/8),DIFFResistor(bank 0/1/2/3/6/7/8),DIFFResistor(bank 4/5),BANK VREF,BANK,BANK VCCIO(V)
1,LVDS25 (Not Support),True LVDS,Differential,OFF,OFF,OFF,OFF,SLOW,OFF,OFF,OFF,OFF,OFF,NONE,OFF,OFF,OFF,OFF,OFF,-,-
2,RSDS (Not Support),True LVDS,,OFF,OFF,OFF,OFF,SLOW,OFF,OFF,OFF,OFF,OFF,NONE,OFF,OFF,OFF,OFF,OFF,-,-
3,MINILVDS (Not Support),True LVDS,,OFF,OFF,OFF,OFF,SLOW,OFF,OFF,OFF,OFF,OFF,NONE,OFF,OFF,OFF,OFF,OFF,-,-
4,PPLVDS (Not Support),True LVDS,,OFF,OFF,OFF,OFF,SLOW,OFF,OFF,OFF,OFF,OFF,NONE,OFF,OFF,OFF,OFF,OFF,-,-
5,LVDS25E,Differential Voltage Inout,,8,12/24/20/16/8/4,OFF,OFF,FAST/SLOW,OFF,OFF,OFF,OFF/ON,OFF,NONE/UP/DOWN/KEEPER,OFF,OFF,OFF,OFF/ON,OFF,ALL,2.5
6,BLVDS25,,,16,24/20/16/12/8/4,OFF,OFF,FAST/SLOW,OFF,OFF,OFF,OFF/ON,OFF,NONE/UP/DOWN/KEEPER,OFF,OFF,OFF,OFF/ON,OFF,ALL,2.5
7,MLVDS25,,,16,24/20/16/12/8/4,OFF,OFF,FAST/SLOW,OFF,OFF,OFF,OFF/ON,OFF,NONE/UP/DOWN/KEEPER,OFF,OFF,OFF,OFF/ON,OFF,ALL,2.5
8,RSDS25E,,,8,12/24/20/16/8/4,OFF,OFF,FAST/SLOW,OFF,OFF,OFF,OFF/ON,OFF,NONE/UP/DOWN/KEEPER,OFF,OFF,OFF,OFF/ON,OFF,ALL,2.5
9,LVPECL33E,,,16,16/24/20/12/8/4,OFF,OFF,FAST/SLOW,OFF,OFF,OFF,OFF/ON,OFF,NONE/UP/DOWN/KEEPER,OFF,OFF,OFF,OFF/ON,OFF,ALL,3.3
10,HSTL15D_I,,,8,24/20/16/12/8/4,OFF,OFF,FAST/SLOW,OFF,OFF,OFF,OFF/ON,OFF,NONE/UP/DOWN/KEEPER,OFF,OFF/ON,OFF,OFF,OFF,ALL,1.5
