GW1N-1,LV,ALL,1.2,1.14,1.26,,,,,,,,
GW1NR-1,LV,ALL,1.2,1.14,1.26,,,,,,,,
GW1AN-1C,LV,ALL,1.2,1.14,1.26,,,,,,,,
GW1N-1S,LV,ALL,1.2,1.14,1.26,,,,,,,,
GW1N-1P5,LV,ALL,1.2,1.14,1.26,3.3/1.8/2.5,1.71,3.6,,,,,
GW1N-1P5,UV,ALL,3.3/1.8/2.5,1.71,3.6,3.3/1.8/2.5,1.71,3.6,,,,VCC/VCCX Short Circuit,
GW1N-1P5B,LV,ALL,1.2,1.14,1.26,3.3/1.8/2.5,1.71,3.6,,,,,
GW1N-1P5B,UV,ALL,3.3/1.8/2.5,1.71,3.6,3.3/1.8/2.5,1.71,3.6,,,,VCC/VCCX Short Circuit,
GW1N-1P5C,LV,ALL,1.2,1.14,1.26,3.3/1.8/2.5,1.71,3.6,,,,,
GW1N-1P5C,UV,ALL,3.3/1.8/2.5,1.71,3.6,3.3/1.8/2.5,1.71,3.6,,,,VCC/VCCX Short Circuit,
GW1N-2,LV,ALL,1.2,1.14,1.26,3.3/1.8/2.5,1.71,3.6,,,,,
GW1N-2,UV,ALL,3.3/1.8/2.5,1.71,3.6,3.3/1.8/2.5,1.71,3.6,,,,VCC/VCCX Short Circuit except QFN48/MBGA49,
GW1N-2B,LV,ALL,1.2,1.14,1.26,3.3/1.8/2.5,1.71,3.6,,,,,
GW1N-2B,UV,ALL,3.3/1.8/2.5,1.71,3.6,3.3/1.8/2.5,1.71,3.6,,,,VCC/VCCX Short Circuit except QFN48,
GW1N-2C,LV,ALL,1.2,1.14,1.26,3.3/1.8/2.5,1.71,3.6,,,,,
GW1N-2C,UV,ALL,3.3/1.8/2.5,1.71,3.6,3.3/1.8/2.5,1.71,3.6,,,,VCC/VCCX Short Circuit except QFN48/MBGA49/QFN88,
GW1N-4,LV,ALL,1.2,1.14,1.26,3.3/2.5,2.375,3.6,,,,,
GW1N-4,UV,ALL,3.3/1.8/2.5,1.71,3.6,3.3/2.5,2.375,3.6,,,,,
GW1N-4B,LV,ALL,1.2,1.14,1.26,3.3/2.5,2.375,3.6,,,,,
GW1N-4B,UV,ALL,3.3/1.8/2.5,1.71,3.6,3.3/2.5,2.375,3.6,,,,,
GW1N-4D,LV,ALL,1.2,1.14,1.26,3.3/2.5,2.375,3.6,,,,,
GW1N-4D,UV,ALL,3.3/1.8/2.5,1.71,3.6,3.3/2.5,2.375,3.6,,,,,
GW1N-9,LV,ALL,1.2,1.14,1.26,3.3/2.5,2.375,3.6,,,,,
GW1N-9,UV,ALL,3.3/1.8/2.5,1.71,3.6,3.3/2.5,2.375,3.6,,,,,
GW1N-9C,LV,ALL,1.2,1.14,1.26,3.3/2.5,2.375,3.6,,,,,
GW1N-9C,UV,ALL,3.3/1.8/2.5,1.71,3.6,3.3/2.5,2.375,3.6,,,,,
GW1NR-2,LV,ALL,1.2,1.14,1.26,3.3/1.8/2.5,1.71,3.6,,,,,
GW1NR-2,UV,ALL,3.3/1.8/2.5,1.71,3.6,3.3/1.8/2.5,1.71,3.6,,,,,
GW1NR-2B,LV,ALL,1.2,1.14,1.26,3.3/1.8/2.5,1.71,3.6,,,,,
GW1NR-2B,UV,ALL,3.3/1.8/2.5,1.71,3.6,3.3/1.8/2.5,1.71,3.6,,,,,
GW1NR-2C,LV,ALL,1.2,1.14,1.26,3.3/1.8/2.5,1.71,3.6,,,,,
GW1NR-2C,UV,ALL,3.3/1.8/2.5,1.71,3.6,3.3/1.8/2.5,1.71,3.6,,,,,
GW1NR-4,LV,QFN88,1.2,1.14,1.26,3.3,3.135,3.6,,,,,
GW1NR-4,LV,MBGA81P,1.2,1.14,1.26,3.3/2.5,2.375,3.6,,,,,
GW1NR-4,UV,QFN88,3.3,3.135,3.6,3.3,3.135,3.6,,,,,
GW1NR-4,UV,MBGA81P,3.3/1.8/2.5,1.71,3.6,3.3/2.5,2.375,3.6,,,,,
GW1NR-4B,LV,QFN88,1.2,1.14,1.26,3.3,3.135,3.6,,,,,
GW1NR-4B,LV,MBGA81P,1.2,1.14,1.26,3.3/2.5,2.375,3.6,,,,,
GW1NR-4B,LV,QFN88P,1.2,1.14,1.26,3.3/2.5,2.375,3.6,,,,,
GW1NR-4B,UV,QFN88,3.3,3.135,3.6,3.3,3.135,3.6,,,,,
GW1NR-4B,UV,MBGA81P,3.3/1.8/2.5,1.71,3.6,3.3/2.5,2.375,3.6,,,,,
GW1NR-4B,UV,QFN88P,3.3/1.8/2.5,1.71,3.6,3.3/2.5,2.375,3.6,,,,,
GW1NR-4D,LV,QFN88,1.2,1.14,1.26,3.3,3.135,3.6,,,,,
GW1NR-4D,LV,MBGA81P,1.2,1.14,1.26,3.3/2.5,2.375,3.6,,,,,
GW1NR-4D,LV,QFN88P,1.2,1.14,1.26,3.3/2.5,2.375,3.6,,,,,
GW1NR-4D,UV,QFN88,3.3,3.135,3.6,3.3,3.135,3.6,,,,,
GW1NR-4D,UV,QFN88P,3.3/1.8/2.5,1.71,3.6,3.3/2.5,2.375,3.6,,,,,
GW1NR-4D,UV,MBGA81P,3.3/1.8/2.5,1.71,3.6,3.3/2.5,2.375,3.6,,,,,
GW1NR-9,LV,QFN88,1.2,1.14,1.26,3.3,3.135,3.6,,,,,
GW1NR-9,LV,QFN88P,1.2,1.14,1.26,3.3/2.5,2.375,3.6,,,,,
GW1NR-9,LV,LQFP144P,1.2,1.14,1.26,3.3/2.5,2.375,3.6,,,,,
GW1NR-9,LV,MBGA100P,1.2,1.14,1.26,3.3/2.5,2.375,3.6,,,,,
GW1NR-9,UV,QFN88,3.3,3.135,3.6,3.3,3.135,3.6,,,,,
GW1NR-9,UV,QFN88P,3.3/1.8/2.5,1.71,3.6,3.3/2.5,2.375,3.6,,,,,
GW1NR-9,UV,LQFP144P,3.3/1.8/2.5,1.71,3.6,3.3/2.5,2.375,3.6,,,,,
GW1NR-9,UV,MBGA100P,3.3/1.8/2.5,1.71,3.6,3.3/2.5,2.375,3.6,,,,,
GW1NR-9C,LV,QFN88,1.2,1.14,1.26,3.3,3.135,3.6,,,,,
GW1NR-9C,LV,QFN88P,1.2,1.14,1.26,3.3/2.5,2.375,3.6,,,,,
GW1NR-9C,LV,MBGA100P,1.2,1.14,1.26,3.3/2.5,2.375,3.6,,,,,
GW1NR-9C,LV,LQFP144P,1.2,1.14,1.26,3.3/2.5,2.375,3.6,,,,,
GW1NR-9C,LV,MBGA100PF,1.2,1.14,1.26,3.3/2.5,2.375,3.6,,,,,
GW1NR-9C,LV,MBGA100PD,1.2,1.14,1.26,3.3/2.5,2.375,3.6,,,,,
GW1NR-9C,LV,MBGA100PA,1.2,1.14,1.26,3.3/2.5,2.375,3.6,,,,,
GW1NR-9C,LV,MBGA100PT,1.2,1.14,1.26,3.3/2.5,2.375,3.6,,,,,
GW1NR-9C,LV,MBGA100PS,1.2,1.14,1.26,3.3/2.5,2.375,3.6,,,,,
GW1NR-9C,UV,QFN88,3.3,3.135,3.6,3.3,3.135,3.6,,,,,
GW1NR-9C,UV,QFN88P,3.3/1.8/2.5,1.71,3.6,3.3/2.5,2.375,3.6,,,,,
